kegg_id,ncbi_id,superkingdom,phylum,class,order,family,genus,species,oxygen
fcf,984129,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
fcn,676032,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
fco,1041826,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium columnare,Aerobe
fma,334413,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,Finegoldia magna,Anaerobe
fne,457405,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,Anaerobe
fno,381764,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,Fervidobacterium nodosum,Anaerobe
fnt,469602,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,Anaerobe
fnu,190304,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,Anaerobe
fph,484022,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella philomiragia,Aerobe
fps,402612,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,Aerobe
fpt,539329,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella philomiragia,Aerobe
fra,106370,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia,[],Aerobe
fre,298653,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia,[],Aerobe
fri,298654,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia,[],Aerobe
fsc,59374,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter succinogenes,Anaerobe
fsu,59374,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter succinogenes,Anaerobe
fsy,656024,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia,[],Aerobe
fta,458234,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
ftc,119857,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
ftf,393115,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
fth,393011,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
fti,351581,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
ftl,376619,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
ftm,441952,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
ftn,401614,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
ftr,510831,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
ftt,1001534,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
ftu,177416,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
ftv,119857,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
ftz,119857,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Aerobe
fus,469607,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,Anaerobe
gau,379066,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas aurantiaca,Aerobe
gca,395494,Bacteria,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,Gallionella,Gallionella capsiferriformans,Aerobe
gct,691437,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,[],Facultative
gdi,272568,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter diazotrophicus,Aerobe
gdj,272568,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter diazotrophicus,Aerobe
geb,443143,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,[],Anaerobe
gem,443144,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,[],Anaerobe
geo,316067,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter daltonii,Anaerobe
gfo,411154,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,Gramella forsetii,Aerobe
gka,235909,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus kaustophilus,Aerobe
glo,398767,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter lovleyi,Anaerobe
gma,682795,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella mallensis,Aerobe
gmc,581103,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,[],Facultative
gme,269799,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter metallireducens,Anaerobe
gor,337191,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,[],Aerobe
gox,290633,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter,Gluconobacter oxydans,Aerobe
gsk,663917,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter sulfurreducens,Anaerobe
gth,634956,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Parageobacillus,Parageobacillus thermoglucosidans,Facultative
gtn,420246,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus thermodenitrificans,Facultative
gur,351605,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter uraniireducens,Anaerobe
gva,553190,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,Anaerobe
gvh,1009464,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,Anaerobe
gwc,471223,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,[],Facultative
gxy,634177,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,Komagataeibacter medellinensis,Aerobe
gya,550542,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,[],Facultative
gyc,544556,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,[],Facultative
gym,481743,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,[],Facultative
hac,382638,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter acinonychis,Aerobe
hal,64091,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,Aerobe
hao,65093,Bacteria,Cyanobacteria,[],Chroococcales,Aphanothecaceae,Halothece,[],Anaerobe
har,204773,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,[],Anaerobe
has,656519,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,[],Anaerobe
hau,316274,Bacteria,Chloroflexi,Chloroflexia,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon aurantiacus,Aerobe
hba,582402,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,Hirschia baltica,Aerobe
hbu,415426,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Hyperthermus butylicus,Anaerobe
hch,349521,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella,Hahella chejuensis,Anaerobe
hdn,582899,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium denitrificans,Aerobe
hdu,233412,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[Haemophilus] ducreyi,Anaerobe
hef,866344,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
heg,907240,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hel,768066,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas elongata,Facultative
heo,85962,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
heq,102608,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hes,907239,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hex,866346,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hha,349124,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,Halorhodospira halophila,Anaerobe
hho,547144,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobaculum,[],Aerobe
hic,727,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[],Facultative
hie,262727,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,Facultative
hih,727,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[],Facultative
hin,71421,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,Facultative
hip,374930,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,Facultative
hiq,374931,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,Facultative
hit,281310,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,Facultative
hiw,727,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[],Facultative
hix,727,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[],Facultative
hiz,262728,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,Facultative
hla,416348,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halorubrum,Halorubrum lacusprofundi,Aerobe
hma,272569,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula,Haloarcula marismortui,Aerobe
hme,523841,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax mediterranei,Aerobe
hmo,498761,Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacterium,Heliobacterium modesticaldum,Anaerobe
hne,228405,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas neptunium,Aerobe
hor,373903,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halothermothrix,Halothermothrix orenii,Anaerobe
hpa,357544,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpak,738,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[],Facultative
hpas,738,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[],Facultative
hpb,592205,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpc,765963,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpd,290847,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpf,866345,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpg,563041,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hph,907237,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpi,869727,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpl,693745,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpm,765962,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpo,585535,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpp,570508,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpq,985081,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hps,512562,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpt,794851,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpu,765964,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpw,985080,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpx,585538,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpy,85962,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hpz,684950,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Aerobe
hse,757424,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum seropedicae,Aerobe
hsm,228400,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus,Histophilus somni,Facultative
hso,205914,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus,Histophilus somni,Facultative
hxa,797210,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halopiger,Halopiger xanaduensis,Aerobe
hya,380749,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobaculum,[],Aerobe
hym,1356852,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,[],Aerobe
hys,547146,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobaculum,[],Aerobe
ilo,283942,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina loihiensis,Aerobe
iva,743718,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Isoptericola,Isoptericola variabilis,Facultative
jan,290400,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,[],Aerobe
kom,571,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,[],Aerobe
kpb,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,[],Facultative
kpe,507522,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Facultative
kpn,272620,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Facultative
kpne,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,[],Facultative
kpnu,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,[],Facultative
kpu,484021,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Facultative
kpx,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,[],Facultative
kra,266940,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,Kineococcus radiotolerans,Aerobe
krh,378753,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,Kocuria rhizophila,Aerobe
kvl,759362,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ketogulonicigenium,Ketogulonicigenium vulgare,Facultative
kvu,880591,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ketogulonicigenium,Ketogulonicigenium vulgare,Anaerobe
lac,272621,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,Facultative
lag,882944,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio anguillarum,Aerobe
lai,891391,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,Facultative
lam,695560,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus,Facultative
lan,983544,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,[],Aerobe
lay,695562,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus,Facultative
lba,523794,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia buccalis,Anaerobe
lbf,355278,Bacteria,Spirochaetes,Spirochaetia,[],Leptospiraceae,Leptospira,Leptospira biflexa,Aerobe
lbh,511437,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus buchneri,Facultative
lbi,456481,Bacteria,Spirochaetes,Spirochaetia,[],Leptospiraceae,Leptospira,Leptospira biflexa,Aerobe
lbr,387344,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus brevis,Aerobe
lbu,321956,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,Facultative
lca,321967,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paracasei,Facultative
lch,395495,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,[],Leptothrix,Leptothrix cholodnii,Aerobe
lci,349519,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc citreum,Facultative
lcr,748671,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,Facultative
lcz,498216,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei,Facultative
ldb,390333,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,Facultative
lde,767455,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,Facultative
ldl,353496,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,Facultative
lep,111781,Bacteria,Cyanobacteria,[],Synechococcales,Leptolyngbyaceae,Leptolyngbya,[],Aerobe
lfe,334390,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus fermentum,Facultative
lga,324831,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri,Facultative
lgr,420889,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,Facultative
lgv,420890,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,Facultative
lha,449,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,[],Aerobe
lhd,1587,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,[],Facultative
lhe,405566,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,Facultative
lhh,767456,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,Facultative
lhk,557598,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Laribacter,Laribacter hongkongensis,Anaerobe
lhl,767462,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,Facultative
lhr,880633,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,Facultative
lhv,326425,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,Facultative
lic,267671,Bacteria,Spirochaetes,Spirochaetia,[],Leptospiraceae,Leptospira,Leptospira interrogans,Aerobe
lie,573825,Bacteria,Spirochaetes,Spirochaetia,[],Leptospiraceae,Leptospira,Leptospira interrogans,Aerobe
lil,189518,Bacteria,Spirochaetes,Spirochaetia,[],Leptospiraceae,Leptospira,Leptospira interrogans,Aerobe
lin,272626,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria innocua,Facultative
liv,881621,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria ivanovii,Facultative
ljo,257314,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,Facultative
lki,762051,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc kimchii,Facultative
lla,272623,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,Facultative
llc,272622,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,Facultative
llk,684738,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,Facultative
llm,416870,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,Facultative
lln,746361,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,Facultative
llo,661367,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella longbeachae,Aerobe
lmf,265669,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmg,393126,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmh,552536,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmj,393130,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmk,427140,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc mesenteroides,Aerobe
lmn,653938,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmo,169963,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmok,1639,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,[],Facultative
lmom,1639,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,[],Facultative
lmoo,879088,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmos,879090,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmot,879089,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmr,1437838,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lms,393127,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmt,393133,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmv,1639,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,[],Facultative
lmy,637381,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lmz,863767,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Facultative
lpa,423212,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,Aerobe
lpb,1590,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,[],Facultative
