kegg_id,ncbi_id,superkingdom,phylum,class,order,family,genus,species,oxygen
cte,194439,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum tepidum,Anaerobe
cthe,251229,Bacteria,Cyanobacteria,[],Chroococcidiopsidales,Chroococcidiopsidaceae,Chroococcidiopsis,Chroococcidiopsis thermalis,Aerobe
ctm,981222,Bacteria,Acidobacteria,Blastocatellia,[],[],Chloracidobacterium,Chloracidobacterium thermophilum,Aerobe
ctt,688245,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas testosteroni,Aerobe
ctu,693216,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter turicensis,Facultative
cua,1267754,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium urealyticum,Anaerobe
cuc,945711,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ulcerans,Facultative
cul,945712,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ulcerans,Facultative
cur,504474,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium urealyticum,Anaerobe
cuv,401472,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,[],Anaerobe
cva,858619,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium variabile,Aerobe
cvi,243365,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Chromobacterium violaceum,Facultative
cya,321327,Bacteria,Cyanobacteria,[],Synechococcales,Synechococcaceae,Synechococcus,[],Facultative
cyb,321332,Bacteria,Cyanobacteria,[],Synechococcales,Synechococcaceae,Synechococcus,[],Facultative
cyc,65393,Bacteria,Cyanobacteria,[],Oscillatoriales,Cyanothecaceae,Cyanothece,[],Anaerobe
cyh,395962,Bacteria,Cyanobacteria,[],Oscillatoriales,Cyanothecaceae,Cyanothece,[],Aerobe
cyj,497965,Bacteria,Cyanobacteria,[],Oscillatoriales,Cyanothecaceae,Cyanothece,[],Aerobe
cyn,395961,Bacteria,Cyanobacteria,[],Oscillatoriales,Cyanothecaceae,Cyanothece,[],Anaerobe
cyp,41431,Bacteria,Cyanobacteria,[],Oscillatoriales,Cyanothecaceae,Cyanothece,[],Aerobe
dac,398578,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia acidovorans,Aerobe
daf,690850,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio africanus,Anaerobe
